actual spread,estimated spread
8,32
4,0
8,0
2,0
24,15
4,0
354,304
5,34
2,0
67,58
2,0
10,0
4,23
3,0
24,15
42,38
266,258
113,108
109,81
2,4
101,91
5,29
2,6
14,29
16,0
4,27
16,0
27,15
11,19
2,0
123,147
3,13
4,25
9,0
3,0
10,0
2,0
9,32
2,0
2,0
8,40
2,2
2,9
2,0
8,42
236,183
10,0
10,0
11,17
46,51
12,15
4,13
16,4
20,15
9,0
4,0
8,36
4,0
57,96
2,0
8,27
11,0
4,9
73,74
27,4
3,0
20,0
2,63
20,21
5,17
3,13
15,9
114,79
4,2
196,213
3,0
9,27
13,0
4,13
6,0
2,0
24,38
5,0
20,0
14,17
8,6
2,0
74,126
6,29
2,13
20,11
7,0
80,58
46,79
220,204
8,11
4,21
2,0
2,11
70,100
6,32
300,279
183,220
9,6
15,11
160,223
20,56
7,67
308,327
151,142
28,29
2,11
42,91
10,19
4,25
20,32
4,0
4,2
124,144
16,2
2,17
80,115
201,189
20,11
20,0
8,0
8,4
15,29
32,32
118,134
10,19
23,0
16,58
16,54
4,15
4,0
20,2
4,17
182,118
2,27
76,91
6,0
373,411
9,9
2,0
114,105
20,13
2,0
10,0
73,65
187,235
484,560
4,9
2,15
7,17
20,0
11,19
5,13
2,15
2,15
2,0
2,0
3,58
10,11
12,0
2,0
67,40
10,0
2,0
8,2
20,0
6,25
354,368
12,40
2,9
2,2
4,0
8,0
74,86
2,0
16,21
286,276
129,136
2,0
20,13
27,19
12,23
12,9
139,86
17,4
8,34
2,0
2,34
2,0
11,9
6,4
3,0
2,2
22,27
2,19
6,54
8,88
14,9
6,11
10,36
57,17
2,0
6,6
30,36
15,9
2,0
4,0
136,128
2,17
468,460
2,9
2,19
2,0
6,0
2,0
23,0
6,17
2,0
40,58
2,0
466,470
34,2
4,0
8,9
11,6
453,430
8,0
2,0
3,23
3,4
8,0
9,42
8,42
4,0
2,0
4,0
4,6
160,166
27,38
8,0
4,4
46,42
2,60
2,0
337,339
495,460
20,38
9,9
6,21
5,0
384,475
12,29
10,11
24,23
2,23
8,32
146,147
69,25
23,32
45,42
17,9
16,65
242,223
383,425
2,45
6,40
30,0
12,11
2,2
4,6
93,69
4,6
42,34
19,0
2,29
12,21
3,0
128,113
5,0
162,175
8,0
32,15
486,460
316,316
29,63
20,0
2,0
8,15
4,13
2,0
3,0
202,195
2,0
19,0
8,9
9,19
121,144
2,0
20,4
9,13
2,0
5,0
320,351
11,32
171,144
2,11
10,29
7,2
146,178
9,0
81,84
2,6
20,6
67,38
4,0
6,34
2,0
197,152
92,115
485,542
74,54
295,297
82,100
4,13
2,0
104,79
5,9
100,118
2,0
37,63
6,21
2,0
7,0
6,4
24,27
8,0
20,60
10,0
32,15
24,15
5,0
2,0
432,407
24,0
268,283
25,29
2,13
2,0
396,393
236,226
40,29
394,416
160,131
12,9
20,0
2,0
335,331
4,0
8,9
194,166
20,81
6,27
4,0
2,11
16,11
45,81
4,19
3,0
4,0
54,11
26,32
388,393
4,0
6,9
8,40
136,144
12,23
100,118
70,74
6,0
3,0
15,6
6,47
20,29
12,0
2,9
20,27
9,72
2,38
9,23
13,45
2,23
20,25
70,81
88,84
488,425
2,0
6,27
196,210
38,40
136,163
270,265
2,0
42,47
163,155
2,23
8,0
2,6
196,195
2,0
4,0
44,6
2,0
4,0
58,72
228,204
32,2
6,0
140,123
128,131
34,27
20,49
5,38
168,158
2,0
2,6
162,161
2,13
67,86
424,385
20,54
3,13
66,54
82,96
2,13
138,155
2,0
18,0
20,6
2,15
8,21
8,0
484,536
2,0
8,0
2,0
2,23
5,0
94,108
20,6
2,0
118,186
6,4
124,126
15,21
180,183
4,0
66,72
5,13
4,0
8,21
129,108
2,0
2,29
8,0
18,42
40,42
126,93
180,169
2,0
9,0
14,23
104,163
16,11
20,4
10,32
4,27
143,131
20,38
14,23
12,13
3,0
4,0
4,0
2,0
368,402
5,32
8,0
10,38
92,100
2,0
6,11
62,27
24,15
4,0
212,223
58,34
4,0
14,27
15,86
4,45
2,0
2,51
10,0
49,47
12,0
230,252
8,15
52,58
14,13
4,4
4,4
128,121
4,0
4,0
5,11
2,0
8,47
20,21
12,0
2,19
134,118
21,0
3,0
178,220
4,32
404,393
9,45
2,17
7,49
4,25
16,49
141,169
4,19
4,0
20,27
2,0
104,134
66,49
5,0
2,19
176,180
2,32
34,15
6,0
4,0
106,79
177,183
2,0
7,0
2,0
148,128
20,11
414,425
2,13
365,351
26,4
182,150
5,17
41,56
2,29
3,0
2,9
2,60
38,34
6,4
2,17
6,15
4,19
2,0
5,0
2,0
7,21
32,29
17,56
4,0
148,131
2,2
6,0
42,45
3,4
20,34
2,2
103,88
6,47
41,58
420,450
8,0
98,56
18,13
60,86
2,0
15,0
4,9
2,0
4,0
282,272
100,38
208,183
5,15
11,0
2,0
56,40
20,0
4,4
33,27
29,27
16,29
20,0
16,45
2,0
2,0
4,25
18,0
218,223
2,6
20,69
4,0
24,29
10,0
5,17
2,2
2,19
8,0
22,0
2,36
4,42
20,0
2,0
2,29
4,13
12,0
5,42
211,201
8,2
216,226
2,0
38,34
4,0
96,139
10,27
4,23
7,4
2,21
4,0
4,0
35,23
4,32
197,180
4,17
22,13
7,17
2,29
272,327
5,23
2,0
6,0
4,0
236,276
192,195
6,4
7,0
3,11
5,2
3,56
6,0
4,51
13,27
4,17
4,0
8,11
4,0
26,32
4,0
6,23
24,0
8,21
4,0
2,0
6,0
10,25
17,0
20,0
34,17
32,25
2,0
53,88
4,2
16,32
126,169
32,36
402,425
271,276
6,9
2,0
10,0
8,0
2,19
20,13
2,0
13,47
2,42
401,518
2,0
11,21
19,47
4,0
2,13
2,0
2,0
6,27
145,142
2,0
4,0
2,0
4,0
50,51
2,58
9,32
4,0
20,0
2,27
260,255
309,323
9,15
164,169
4,0
126,144
341,398
166,105
2,0
20,27
4,0
4,0
8,23
323,297
10,25
196,195
4,0
36,13
2,0
94,76
4,0
3,0
4,25
62,42
2,0
8,6
2,45
16,25
12,38
64,13
10,6
24,42
58,88
34,60
8,0
403,372
5,0
2,15
11,19
128,136
2,4
205,180
8,27
156,155
59,40
4,23
3,0
2,0
283,301
11,11
4,0
2,0
4,0
6,56
20,2
8,54
2,6
150,175
58,23
10,0
14,11
147,155
20,34
96,69
262,293
33,21
16,0
2,9
20,4
4,0
373,372
4,11
2,15
2,0
14,0
49,63
20,2
222,195
14,19
13,4
2,0
23,32
4,4
2,47
3,34
3,0
130,131
8,21
42,65
2,0
2,0
100,103
2,0
2,17
36,11
2,0
6,0
20,0
9,11
5,21
2,0
4,0
4,21
3,0
8,15
2,9
36,47
2,0
13,47
4,0
2,23
6,34
112,136
10,19
12,15
6,11
8,49
10,0
48,67
82,88
144,131
2,2
14,0
2,2
134,150
150,232
150,123
186,161
2,0
136,144
140,118
2,2
60,47
4,27
160,123
12,32
12,34
28,0
2,4
2,17
214,248
335,339
56,67
39,0
12,0
70,86
41,38
20,42
322,290
19,17
180,163
2,32
6,17
20,15
12,0
336,323
106,144
103,123
20,40
2,19
4,9
2,13
22,56
193,198
134,139
62,23
4,27
12,13
114,142
4,0
2,0
7,0
4,13
2,0
20,0
4,17
162,118
27,32
3,0
10,27
143,98
9,11
20,36
4,6
2,0
25,32
3,0
166,169
374,421
88,81
2,9
2,0
264,286
12,19
4,0
4,25
10,13
2,0
210,213
2,40
2,0
15,19
4,9
8,17
4,0
3,0
48,100
20,21
18,9
6,45
4,0
132,76
20,38
34,2
348,368
8,0
66,65
44,72
3,0
3,29
234,220
22,15
2,0
2,0
4,11
28,27
2,11
18,0
2,11
6,0
5,17
2,0
6,29
2,0
4,60
68,96
6,23
2,0
110,108
239,255
4,0
4,42
15,21
4,29
86,100
400,376
7,21
9,0
50,56
2,13
61,58
113,45
8,34
20,40
24,42
2,32
2,0
6,4
15,49
5,0
2,0
4,0
3,0
10,0
4,9
24,36
16,51
4,76
281,276
6,11
16,11
12,0
8,0
2,21
6,0
4,0
30,40
8,0
146,131
65,58
8,0
352,440
3,9
2,15
6,36
4,0
7,0
20,25
212,232
2,9
6,0
32,21
9,11
17,0
6,11
2,0
413,491
8,0
8,27
5,0
2,0
14,42
163,229
40,60
2,0
111,121
16,0
13,0
14,0
2,0
2,19
212,235
10,0
56,54
128,103
2,15
24,11
6,0
6,0
77,60
118,136
3,0
52,23
26,23
152,118
312,372
24,0
4,0
39,45
5,9
12,0
156,136
2,4
16,29
20,38
4,9
4,0
2,0
4,0
8,0
12,0
2,0
38,32
2,51
2,0
6,40
37,65
4,4
17,38
2,2
8,0
2,27
2,0
2,40
33,47
6,0
32,63
101,93
48,45
2,6
4,0
16,4
5,0
48,84
180,144
10,0
17,27
39,86
16,49
2,0
475,455
20,13
28,56
4,21
18,19
8,0
53,105
204,210
254,286
480,470
124,123
2,32
2,0
222,265
2,27
112,121
2,13
176,198
152,166
4,11
4,0
189,186
30,49
19,0
2,47
48,47
23,25
226,235
2,0
21,21
200,180
4,11
4,23
2,17
9,6
174,180
4,15
2,0
184,210
28,19
4,0
4,0
2,11
3,17
7,0
4,0
376,363
16,27
25,60
11,4
4,0
12,54
2,6
23,19
4,0
4,25
124,134
26,42
3,4
20,25
4,0
20,23
242,312
3,0
9,0
8,4
286,269
156,155
92,108
20,42
400,376
160,169
20,19
20,19
4,15
3,15
6,0
2,0
188,269
14,2
5,0
10,0
4,45
4,0
108,128
8,0
130,161
21,38
122,126
95,98
4,15
9,0
20,32
2,0
16,0
126,136
7,0
2,9
12,25
9,34
4,0
2,9
9,15
20,0
20,32
8,4
10,23
2,21
4,40
2,0
89,86
4,27
12,0
139,123
365,372
98,121
4,23
2,0
106,96
4,0
150,144
18,0
497,496
211,262
7,0
8,11
2,6
2,11
6,0
4,15
3,4
4,0
2,4
6,0
4,29
104,110
4,13
9,0
335,339
8,23
8,4
6,0
78,79
4,0
20,0
2,11
276,213
2,36
20,25
2,0
4,0
19,25
25,0
4,0
4,0
14,0
12,13
6,0
10,17
74,86
8,34
9,15
10,0
2,27
2,0
20,0
436,363
10,38
4,29
17,0
102,161
174,189
4,0
50,36
7,40
144,139
8,6
6,0
9,0
4,13
6,54
116,113
10,0
34,21
64,79
2,4
22,0
20,36
16,2
2,0
6,36
2,0
2,15
5,17
2,17
14,0
3,0
20,0
359,293
4,23
2,0
2,0
4,0
4,4
2,0
6,29
4,0
18,0
6,0
4,38
163,128
131,147
5,2
6,19
3,4
4,0
2,4
4,2
3,0
10,23
3,0
6,42
4,0
4,0
3,0
16,29
6,56
76,63
20,2
18,0
2,0
16,21
9,36
8,0
4,11
257,258
92,152
2,0
227,239
10,0
20,54
92,91
12,42
5,0
90,40
32,0
2,0
310,229
4,0
6,9
58,47
10,0
12,42
4,54
4,19
7,0
2,0
20,4
2,21
32,36
20,54
2,9
50,34
2,17
87,123
174,189
338,335
20,17
112,115
6,11
2,47
