k=2,w=2000
0.1,478
0.2,475
0.3,475
0.4,476
0.5,477
0.6,475
0.7,475
0.8,475
0.9,475
1.0,475

k=2,w=2500
0.1,353
0.2,351
0.3,348
0.4,350
0.5,349
0.6,348
0.7,348
0.8,348
0.9,347
1.0,348

k=2,w=3000
0.1,270
0.2,267
0.3,265
0.4,265
0.5,265
0.6,264
0.7,263
0.8,263
0.9,263
1.0,263

k=2,w=3500
0.1,214
0.2,210
0.3,208
0.4,207
0.5,207
0.6,206
0.7,205
0.8,205
0.9,205
1.0,204

k=2,w=4000
0.1,178
0.2,174
0.3,171
0.4,169
0.5,169
0.6,168
0.7,167
0.8,167
0.9,166
1.0,166

